gene,log2FoldChange,t_statistic,p_value,p_adjusted,q_value,significant,significant_fdr
A1BG,-0.13009293768253283,-0.4258858898682295,0.6743879516424603,1.0,0.9112201382450249,False,False
A1BG-AS1,0.3208020355790371,0.6549853308428165,0.5230998202795011,1.0,0.8511225394431247,False,False
A1CF,0.3317932298986568,1.0249866896050515,0.3241374675010637,1.0,0.7394598867150686,False,False
A2M,-0.11125421594409701,-0.5098592593204211,0.6189964495164225,1.0,0.890040811402299,False,False
A2M-AS1,0.29879452983182375,1.2793572605270134,0.2154794748777379,1.0,0.6484396895094001,False,False
A2ML1,0.42016974411723407,1.4405614014872732,0.16899791479820742,1.0,0.605811394874612,False,False
A2MP1,0.14442328183707298,0.301486285736566,0.765981278903406,1.0,0.9401304018653602,False,False
A4GALT,-0.14722578997691294,-0.38225848533768936,0.708699006764258,1.0,0.9217014050843081,False,False
A4GNT,0.1261993829391459,0.4258856684581644,0.6767165804238008,1.0,0.9128316102879795,False,False
AA06,0.18950178134629247,0.6591974604587653,0.5226126193522431,1.0,0.8511225394431247,False,False
AAAS,0.5689185373498002,1.2331135600840617,0.24923100595064251,1.0,0.6815418939356132,False,False
AACS,-0.322926496770652,-1.682103590100922,0.11128626270228147,1.0,0.5339035308295753,False,False
AACSP1,-0.0603314253925582,-0.08299530546006946,0.9349348495342633,1.0,0.9824531995033312,False,False
AADAC,0.46638516086933457,0.7805915934762722,0.4481365429621581,1.0,0.8139041421538936,False,False
AADACL2,0.5305549251479178,0.810848662305737,0.4288816691726035,1.0,0.8040113589352963,False,False
AADACP1,0.40642597566869865,0.6648246331407207,0.5170717898283802,1.0,0.8498075049218945,False,False
AADAT,0.05109244759477338,0.2552648451329934,0.8019370964685882,1.0,0.94837647650277,False,False
AAED1,-0.002240211579319862,-0.010055799604620627,0.9921387929425102,1.0,0.9974091104935235,False,False
AAGAB,-0.488332225636702,-2.6104694848471315,0.017994284761781075,1.0,0.2972023172616395,False,False
AAK1,0.022221992825367742,0.180788081199742,0.8583661308042524,1.0,0.9639969003238087,False,False
AAMDC,0.01023158460925444,0.08593602348270506,0.9327401541493915,1.0,0.9817835279194748,False,False
AAMP,-0.2766027063085783,-2.6445167050631064,0.014541999848065005,1.0,0.27787599110422806,False,False
AANAT,0.4354120887256301,0.9738499781871771,0.34145386898359353,1.0,0.752951717540965,False,False
AAR2,0.17266906415420902,1.1250624005702257,0.27439435154448955,1.0,0.6987520054145536,False,False
AARS,0.23193031726015612,1.6502370828234183,0.11420657517128864,1.0,0.538395339933443,False,False
AARS2,0.15136724181917405,0.8065375711983204,0.43660980698148766,1.0,0.8082908608410313,False,False
AASDH,0.2933720198713159,1.617242107719772,0.13572539423519125,1.0,0.5663007079476777,False,False
AASDHPPT,-0.016676998110588315,-0.12364346312137964,0.9032208159964066,1.0,0.9760089942491783,False,False
AASS,-0.09137202757260621,-0.36990889774795765,0.7186853834971197,1.0,0.925111956335524,False,False
AATBC,-0.16796098550644167,-0.5222932094218916,0.6071517266937948,1.0,0.885253116277509,False,False
AATF,-0.010442038840642098,-0.07207067812011936,0.9435706258477378,1.0,0.9855171862655059,False,False
AATK,-0.18909634479992654,-1.031228991349636,0.3166175771330198,1.0,0.7333105192673944,False,False
ABAT,-0.17642125689432042,-1.6242941548149903,0.12428939820981266,1.0,0.5504752180089162,False,False
ABCA1,0.11663106175887616,0.3847130624759767,0.7054537613635886,1.0,0.9206503159743928,False,False
ABCA11P,-0.568659565921318,-2.818368346113108,0.012891893964645051,1.0,0.2683318562593283,False,False
ABCA13,-0.3526642394299617,-0.8265164547095725,0.4173610459617523,1.0,0.7985996127601174,False,False
ABCA17P,-0.2267092945187308,-1.1267641091632996,0.27339748591137253,1.0,0.6980331471097533,False,False
ABCA2,0.083386030276273,0.5221590763747987,0.6095805694037124,1.0,0.8864807463280542,False,False
ABCA3,-0.21997838028197236,-1.4868028915397096,0.1562287304653926,1.0,0.5917009660029572,False,False
ABCA4,0.37553538880072157,0.9173435480999521,0.3764845321697935,1.0,0.7747890293209568,False,False
ABCA5,-0.24425503300330753,-1.102606730908358,0.29344823622964467,1.0,0.7153809949813987,False,False
ABCA6,0.359403597567006,0.8936423032683528,0.3868436546538062,1.0,0.7801488466345851,False,False
ABCA7,0.21722472179804342,1.3650476039098893,0.19710319957867886,1.0,0.6325075180566947,False,False
ABCA8,0.39817437472287054,1.4024186247641186,0.1747809237751588,1.0,0.6106115614330831,False,False
ABCA9,-0.3091897511991819,-1.3143335479183351,0.21187598147947073,1.0,0.6463669417224326,False,False
ABCB1,0.001664016790857481,0.007481235844271391,0.9941577017836819,1.0,0.9982959360853277,False,False
ABCB10,0.0018569354482460554,0.015093912788863165,0.9880894175899456,1.0,0.9966493567414811,False,False
ABCB11,0.08384144662163595,0.18234280844825485,0.857193307247698,1.0,0.9639755472776738,False,False
ABCB4,0.10256589854991205,0.4846287623731975,0.636443584305267,1.0,0.8970040752894268,False,False
ABCB5,0.611498048676115,1.4367872255444325,0.17220241925180163,1.0,0.6080012599651382,False,False
ABCB6,0.19290844411991692,1.5895822316695152,0.13123849054662842,1.0,0.5592965039805176,False,False
ABCB7,0.1084263331481603,0.9009093024672828,0.3819866759028038,1.0,0.7770925062818645,False,False
ABCB8,0.33588404095125757,2.3301664878473374,0.032612137363527215,1.0,0.35398844501240617,False,False
ABCB9,-0.31869042154909444,-2.5319302759565327,0.019719628922779984,1.0,0.30397337796386564,False,False
ABCC1,-0.1531604103448192,-1.5279591846573803,0.14027255919536485,1.0,0.5732637401303041,False,False
ABCC10,0.2611937709711887,1.9078076551314265,0.07113695057316766,1.0,0.4658499061636684,False,False
ABCC11,0.09526209410076536,0.2854518534107462,0.7778889667585653,1.0,0.9426239999274652,False,False
ABCC12,-0.29444508934214797,-0.5206522048862147,0.6121903958624328,1.0,0.8878219186223321,False,False
ABCC13,0.40014605479388266,1.6730223056821827,0.11923437976842799,1.0,0.5440162536685547,False,False
ABCC2,0.9829476041185234,1.9454102327963307,0.06903998784067504,1.0,0.46102402215724836,False,False
ABCC3,0.8124612224842034,2.3115292571668506,0.0318837444435946,1.0,0.35050715453829917,False,False
ABCC4,0.1053591346595164,0.40593530070078077,0.6917274532226421,1.0,0.9183269249441992,False,False
ABCC5,0.20804784734011061,1.5316083577573747,0.1416883928163231,1.0,0.5751650007804779,False,False
ABCC6P1,0.0018038158064674903,0.003486525058817435,0.9972556026538398,1.0,0.9992348323646363,False,False
ABCC8,-0.6321748999383869,-1.3759064775369558,0.1851224481213456,1.0,0.6217003971079319,False,False
ABCC9,0.027568305997015763,0.17276123294135262,0.8643763887980734,1.0,0.966548312375936,False,False
ABCD1,-0.32158612659934693,-1.0393535681000756,0.3094580128606621,1.0,0.7280065970054741,False,False
ABCD2,0.20082685744637407,0.5086855966629312,0.6159959909498761,1.0,0.8895059356400669,False,False
ABCD3,-0.26599731774017243,-2.407114324516604,0.024593863795586677,1.0,0.324843896711859,False,False
ABCD4,0.2004427896080312,1.0455104174793466,0.3168246023734615,1.0,0.7333346084790997,False,False
ABCE1,-0.21588825174267967,-1.4305600919498542,0.17618623231555325,1.0,0.611520069574579,False,False
ABCF1,-0.08527905409763203,-0.7458387754843375,0.4660640628082847,1.0,0.8228312443814311,False,False
ABCF2,0.029655723712874504,0.3236763578694594,0.7499580815884734,1.0,0.9355755120428437,False,False
ABCF3,-0.17578909202729864,-0.7108448681457078,0.49087381745345143,1.0,0.8368884367861099,False,False
ABCG1,0.08732514613300513,0.7857559263869772,0.44041113522177494,1.0,0.8106704377541665,False,False
ABCG2,0.017087123008098004,0.05490211645305947,0.9569926831244047,1.0,0.9881984486147759,False,False
ABCG4,-0.38166665665060684,-1.7120720091869281,0.10052647602348626,1.0,0.5214962655422862,False,False
ABCG5,0.3428684851018609,0.8748347208052843,0.3912130285552916,1.0,0.7838032055916199,False,False
ABCG8,-0.277677353605176,-0.5724389652801214,0.5730082915976699,1.0,0.8709771868777743,False,False
ABHD1,0.3302722055535847,1.283620275876985,0.2276070957602923,1.0,0.6625780564748189,False,False
ABHD10,-0.0633315447832512,-0.49408368060192953,0.6295471541030067,1.0,0.8943861459426722,False,False
ABHD11,-0.3383070334656946,-2.7620629395348337,0.011702440080368548,1.0,0.2618769797631361,False,False
ABHD12,-0.13481945822151786,-1.0643712743473326,0.29820917546302805,1.0,0.7189142687536786,False,False
ABHD13,-0.29827234358161636,-1.7317269286902528,0.09763363524098294,1.0,0.5171993113518001,False,False
ABHD14A,-0.15041481186068228,-0.6491028565640545,0.5270557361013787,1.0,0.8522205264225423,False,False
ABHD14A-ACY1,-0.1444871213147092,-0.9017381702271392,0.3774076498444322,1.0,0.7753646874935266,False,False
ABHD14B,-0.006125111031198394,-0.027659023003247806,0.9782405214268246,1.0,0.9939912698176895,False,False
ABHD15,0.17568285691567986,0.7114835896989375,0.48399914433095287,1.0,0.8319739465947801,False,False
ABHD16A,0.05486283817174442,0.5671514138173235,0.5763212228915643,1.0,0.8723694831460966,False,False
ABHD16B,-0.29547048702784606,-1.292430257097988,0.2203215492646409,1.0,0.6547540345116218,False,False
ABHD17A,-0.11056436505644207,-0.7636434772453026,0.46340755404849876,1.0,0.8220241072413635,False,False
ABHD17B,-0.06342255581617273,-0.37997330044433,0.7081827254229999,1.0,0.9213166167645851,False,False
ABHD17C,0.056633539855809545,0.3836573081194098,0.7068999667963853,1.0,0.9207926498115887,False,False
ABHD18,-0.18579968479736575,-1.7803660789537128,0.0884894946253679,1.0,0.5019691514217992,False,False
ABHD2,-0.32562887498146953,-3.352733950504913,0.0038573698543664754,1.0,0.18485572222614088,False,False
ABHD3,0.23720692415800482,1.3346080590870122,0.19810343220290338,1.0,0.6333257829640223,False,False
ABHD4,0.1534840986753112,1.113608491043712,0.27825966668728036,1.0,0.7021079128902108,False,False
ABHD5,-0.23893454652698765,-1.4784693125658548,0.16647973797512047,1.0,0.6040629503095254,False,False
ABHD6,0.4037003761861726,3.0653012610967423,0.006927648734235206,1.0,0.21635574242487404,False,False
ABHD8,0.028749351797860534,0.10416912087790009,0.9186128211286776,1.0,0.9788676419876391,False,False
ABI1,-0.015261984694828534,-0.14220246648577264,0.8884033238382382,1.0,0.9727836331833443,False,False
ABI2,-0.173038044192249,-2.4212140229348056,0.023810745698211667,1.0,0.3205722134637306,False,False
ABI3,0.044823873962867467,0.2579225934736686,0.7987974486635014,1.0,0.94734191822103,False,False
ABI3BP,0.17266179753377742,0.7809783507051291,0.4427879578807065,1.0,0.8121890040476338,False,False
ABL1,0.2970686109993217,2.2217878184331514,0.03885233785556501,1.0,0.37319228625156836,False,False
ABL2,0.02673518893811,0.257752030301563,0.8004854308365505,1.0,0.9479455715705148,False,False
ABLIM1,0.07163421668211001,0.35004454392931195,0.7304491581923583,1.0,0.9293631001466542,False,False
ABLIM2,0.020815213476465644,0.1501432915536165,0.8822547028815766,1.0,0.9715286790318302,False,False
ABLIM3,-0.563857642591171,-2.8233973100752827,0.01592498656987367,1.0,0.2867635905318731,False,False
ABO,-0.35561549502074374,-1.3080430043374762,0.21320493689493397,1.0,0.6463669417224326,False,False
ABR,-0.1938631161539046,-1.7623654968538605,0.09905549101084041,1.0,0.5189550463431849,False,False
ABRA,0.02676429260269786,0.04481762948286994,0.9650806139725628,1.0,0.9899927390750527,False,False
ABRACL,0.011901559952975482,0.03407043461103903,0.9731152053019019,1.0,0.99221727101962,False,False
ABT1,-0.13583986710665474,-0.7319633316670949,0.47548580143071806,1.0,0.8270022044717462,False,False
ABTB1,0.3523663206309875,0.921378529615283,0.3752308052618954,1.0,0.7737952505992718,False,False
ABTB2,0.09538380143603131,0.5518126643099839,0.5894370921456782,1.0,0.8785924788300963,False,False
ACAA1,-0.012297874884138693,-0.17436658187532722,0.8639213141373604,1.0,0.9662476975068499,False,False
ACAA2,-0.13898123071261903,-0.9094240866965935,0.3746632584411752,1.0,0.7737762031265814,False,False
ACACA,-0.053314018074845926,-0.3444191545278025,0.7356334715647693,1.0,0.9312935958526404,False,False
ACACB,0.1583046120362548,0.8577594331490653,0.4032465602977407,1.0,0.7909539492356915,False,False
ACAD10,-0.08371267134167137,-0.619643227073134,0.5415832877612887,1.0,0.8576912455507598,False,False
ACAD8,0.22993858905008757,1.92055500240117,0.08133945204939382,1.0,0.48694949757442724,False,False
ACAD9,-0.24184468428033945,-1.7231996349470298,0.10714171539356106,1.0,0.5293724424542035,False,False
ACADL,0.18328248554829196,0.40535603707797624,0.6920965856128163,1.0,0.918435149345626,False,False
ACADM,-0.23987701072062606,-2.1382780593740334,0.04477910928602553,1.0,0.3959713578372009,False,False
ACADS,-0.05309036873594142,-0.29191017716379636,0.7730122654861002,1.0,0.9420215127617669,False,False
ACADSB,-0.3303086522451819,-2.455214256374121,0.02247397344966004,1.0,0.3142819724297392,False,False
ACADVL,0.13175543840957893,0.918102764937528,0.37156695519505517,1.0,0.7713825217872672,False,False
ACAN,0.2210074568523197,1.1467341724714213,0.26885066775685373,1.0,0.6961303951753844,False,False
ACAP1,0.09454637054144932,0.3228418010192282,0.7527253664532202,1.0,0.9366548132798778,False,False
ACAP2,0.18104752653441292,1.4765117441126034,0.15371408090231034,1.0,0.5899174288095863,False,False
ACAP3,0.16366619258793413,1.2850878236269154,0.2121763538972148,1.0,0.6463669417224326,False,False
ACAT1,-0.2409767960025464,-2.748799761015329,0.012400717231828631,1.0,0.26395970571020166,False,False
ACAT2,-0.15921096317205663,-0.8183897207512575,0.42260891951335033,1.0,0.8010506111911321,False,False
ACBD3,-0.08266699552219059,-0.87854086354783,0.3916111540831813,1.0,0.7841229858367541,False,False
ACBD4,-0.009632300696835294,-0.05519784260217411,0.9567499341412846,1.0,0.9881984486147759,False,False
ACBD5,0.21586131713943146,3.19648273470757,0.004767017214969261,1.0,0.19472531090036924,False,False
ACBD6,-0.15227145752685978,-1.2021016662838124,0.25258318265697155,1.0,0.6846040435566764,False,False
ACCS,-0.41794949563972583,-0.7446069659578177,0.4691101456037749,1.0,0.8243103885442689,False,False
ACD,-0.10224652307799875,-0.5973870558701737,0.557378516667468,1.0,0.8628774312439608,False,False
ACE,-0.3695841568415963,-0.9861668963644562,0.33540725550174966,1.0,0.7483182195636747,False,False
ACE2,-0.18479781182317456,-0.4459433609536956,0.6620549547244066,1.0,0.9055286675977913,False,False
ACER1,1.5700450187701784,3.333493064599341,0.004031862307687672,1.0,0.18638112829606718,False,False
ACER2,0.995756739438673,2.317511548271806,0.04129069668566782,1.0,0.38356000613999264,False,False
ACER3,0.16340866287078537,1.4577187737022899,0.16154493003220904,1.0,0.5998224481317094,False,False
ACHE,-0.6560681144853282,-1.6859010254954336,0.11380848514779256,1.0,0.5374294610001057,False,False
ACIN1,0.0650207907293412,0.5346721100121816,0.5993502576291284,1.0,0.8831994802383076,False,False
ACKR1,-0.15657210692257184,-0.2672505047443315,0.7916771548169349,1.0,0.9459133498946825,False,False
ACKR2,-0.08025253402218668,-0.28326183834413976,0.7800249331873921,1.0,0.9430260045178396,False,False
ACKR3,0.10674422014772222,0.3688193046484222,0.7176117676876798,1.0,0.9248773370180385,False,False
ACKR4,0.6777811978930206,2.3660094730954424,0.02792071004177257,1.0,0.33706540039738975,False,False
ACLY,-0.2725758709875592,-1.2752633091180343,0.22516317886260726,1.0,0.6595570735144022,False,False
ACMSD,-1.0851968780781396,-1.6231730988039887,0.118668589174982,1.0,0.5428622720309033,False,False
ACO1,0.04755527689856809,0.5758512631134401,0.5722947274513299,1.0,0.8704783951720113,False,False
ACO2,-0.1049014559195367,-0.5129751188459064,0.6146305018339312,1.0,0.8887047798263495,False,False
ACOD1,-0.10550372273432096,-0.24008716756356913,0.8126517427233918,1.0,0.9518131471692535,False,False
ACOT1,-0.2531656064775776,-1.1059704849156273,0.2857357640070916,1.0,0.7087532201001026,False,False
ACOT11,-0.1404994636593626,-0.7683417736358951,0.4537899076020078,1.0,0.8174016847105864,False,False
ACOT12,0.706012552538775,1.0683344422973722,0.30370135969789447,1.0,0.7241883209259199,False,False
ACOT13,-0.13697437132575985,-0.9117030848851319,0.37892841564670127,1.0,0.7756229224908275,False,False
ACOT4,-0.5859964349550557,-1.460228841031127,0.15796080830238515,1.0,0.5943104310981766,False,False
ACOT6,0.49147167753000987,0.9386159370966999,0.3610859591810788,1.0,0.7632821877800188,False,False
ACOT7,-0.5954305042437991,-1.3630981329992093,0.19632033726881587,1.0,0.6321061186641813,False,False
ACOT8,-0.05171957690503426,-0.38482112948696173,0.7067505234010897,1.0,0.920773396898173,False,False
ACOT9,-0.2524792130581881,-1.1972016051669796,0.2482630031566145,1.0,0.6806895150716021,False,False
ACOX1,-0.11251627026966293,-1.134876689186039,0.26929995959473685,1.0,0.6961303951753844,False,False
ACOX2,-0.29766356496646207,-0.5136780961665783,0.6132904906173132,1.0,0.8881277607105098,False,False
ACOX3,-0.10859489099372777,-0.7738291404978305,0.44696837565667186,1.0,0.8129011980178348,False,False
ACOXL,-0.2489492625363785,-0.613152102297591,0.5476307018736395,1.0,0.8594550762077205,False,False
ACP1,-0.27970711243714863,-1.8862693187964283,0.0773355370168592,1.0,0.48188208183094045,False,False
ACP2,-0.5667562314458898,-3.559848206971609,0.0020651621400741217,1.0,0.1588758709977144,False,False
ACP5,0.6167163447871973,1.5876356050556502,0.14333404318352802,1.0,0.5763874072412232,False,False
ACP6,0.07445416914101965,0.48061108566570043,0.6368447363970473,1.0,0.8971617379911421,False,False
ACPP,0.732431403846785,2.27049618542638,0.03713421897831296,1.0,0.3657604521896807,False,False
ACPT,0.1650304586087854,0.6403456722752306,0.5282864234808949,1.0,0.8526654842357932,False,False
ACR,-0.10653666254641436,-0.3319520581906239,0.7438296037193742,1.0,0.9340121729409026,False,False
ACRBP,0.043465402018671995,0.2017163304651386,0.8419120799706862,1.0,0.9598730077440419,False,False
ACRC,0.4730502394030882,2.392430168592986,0.02644841464133068,1.0,0.3316976507502298,False,False
ACRV1,0.16517862880322998,1.22536925151335,0.24147221168912242,1.0,0.6750090450114806,False,False
ACSBG1,-0.28398139884008167,-1.3226204424698185,0.20010589059565628,1.0,0.6346382438190069,False,False
ACSBG2,0.4531399115622219,1.0114181874305483,0.32860584268390647,1.0,0.7430497039815156,False,False
ACSF2,0.17405208309052966,0.6868387489124431,0.503646322417968,1.0,0.8440289146604012,False,False
