excluded_snp,beta_ivw,se_ivw,ci_lower,ci_upper,p_value
rs1000020,-0.2920187084276753,0.0039486570313193685,-0.29975807620906125,-0.28427934064628935,0.0
rs1000021,-0.2984282900744748,0.004019077746485322,-0.30630568245758605,-0.29055089769136355,0.0
rs1000056,-0.29892177836167316,0.00400553671088939,-0.3067726303150164,-0.29107092640832993,0.0
rs1000060,-0.28509507149486146,0.004561623026159211,-0.2940358526261335,-0.2761542903635894,0.0
rs1000080,-0.3094236502662079,0.003996861134925274,-0.3172574980906614,-0.3015898024417544,0.0
rs1000045,-0.3049361463801756,0.0038754616461351985,-0.31253205120660055,-0.2973402415537506,0.0
rs1000082,-0.2966605036735242,0.003843487122204451,-0.3041937384330449,-0.2891272689140035,0.0
rs1000038,-0.3007791550423809,0.0038424722021840247,-0.3083104005586616,-0.2932479095261002,0.0
rs1000067,-0.2939563615776693,0.003836380167467915,-0.3014756667059064,-0.2864370564494322,0.0
rs1000017,-0.2967297774529383,0.003835428018206723,-0.3042472163686235,-0.28921233853725314,0.0
rs1000012,-0.2977406524986415,0.003827774884008884,-0.30524309127129895,-0.2902382137259841,0.0
rs1000004,-0.29774891445901785,0.003803782538724295,-0.3052043282349175,-0.2902935006831182,0.0
rs1000107,-0.29933720456417134,0.0037975770125464998,-0.3067804555087625,-0.2918939536195802,0.0
rs1000009,-0.30011835152470967,0.003787829036514774,-0.3075424964362786,-0.2926942066131407,0.0
rs1000077,-0.301262374096226,0.003780204488202109,-0.30867157489310215,-0.2938531732993499,0.0
rs1000087,-0.30059408590805464,0.0037766180744766295,-0.30799625733402886,-0.29319191448208043,0.0
